"","Groupe","Cocktail","Ingrédients","Recette","Images"
"1","96-grands-classiques","mojito","6 cl de rhum cubain (havana club, bacardi)","
			Réalisez la recette ""Mojito"" directement dans le verre.		 
			Placer les feuilles de menthe dans le verre, ajoutez le sucre et le jus de citrons. Piler consciencieusement afin d'exprimer l'essence de la menthe mais sans la broyer. Ajouter le rhum, remplir le verre à moitié de glaçons et compléter avec de l'eau gazeuse. Mélanger doucement et servir avec une paille.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer de feuilles de menthe fraîches et d'une tranche de citron.		","https://assets.afcdn.com/recipe/20180705/80255_w512h384c1cx2774cy1849.jpg"
"2","96-grands-classiques","mojito","3 cl de jus de citrons verts","
			Réalisez la recette ""Mojito"" directement dans le verre.		 
			Placer les feuilles de menthe dans le verre, ajoutez le sucre et le jus de citrons. Piler consciencieusement afin d'exprimer l'essence de la menthe mais sans la broyer. Ajouter le rhum, remplir le verre à moitié de glaçons et compléter avec de l'eau gazeuse. Mélanger doucement et servir avec une paille.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer de feuilles de menthe fraîches et d'une tranche de citron.		","https://assets.afcdn.com/recipe/20180705/80255_w512h384c1cx2774cy1849.jpg"
"3","96-grands-classiques","mojito","7 feuilles de menthe","
			Réalisez la recette ""Mojito"" directement dans le verre.		 
			Placer les feuilles de menthe dans le verre, ajoutez le sucre et le jus de citrons. Piler consciencieusement afin d'exprimer l'essence de la menthe mais sans la broyer. Ajouter le rhum, remplir le verre à moitié de glaçons et compléter avec de l'eau gazeuse. Mélanger doucement et servir avec une paille.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer de feuilles de menthe fraîches et d'une tranche de citron.		","https://assets.afcdn.com/recipe/20180705/80255_w512h384c1cx2774cy1849.jpg"
"4","96-grands-classiques","mojito"," Eau gazeuse","
			Réalisez la recette ""Mojito"" directement dans le verre.		 
			Placer les feuilles de menthe dans le verre, ajoutez le sucre et le jus de citrons. Piler consciencieusement afin d'exprimer l'essence de la menthe mais sans la broyer. Ajouter le rhum, remplir le verre à moitié de glaçons et compléter avec de l'eau gazeuse. Mélanger doucement et servir avec une paille.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer de feuilles de menthe fraîches et d'une tranche de citron.		","https://assets.afcdn.com/recipe/20180705/80255_w512h384c1cx2774cy1849.jpg"
"5","96-grands-classiques","mojito","2 cl de sirop de sucre de canne","
			Réalisez la recette ""Mojito"" directement dans le verre.		 
			Placer les feuilles de menthe dans le verre, ajoutez le sucre et le jus de citrons. Piler consciencieusement afin d'exprimer l'essence de la menthe mais sans la broyer. Ajouter le rhum, remplir le verre à moitié de glaçons et compléter avec de l'eau gazeuse. Mélanger doucement et servir avec une paille.		 
			Servir dans un verre de type ""tumbler"".		 
			Décorer de feuilles de menthe fraîches et d'une tranche de citron.		","https://assets.afcdn.com/recipe/20180705/80255_w512h384c1cx2774cy1849.jpg"
"6","96-grands-classiques","pina-colada","4 cl de rhum blanc","
			Réalisez la recette ""Piña Colada"" au mixer.		 
			Dans un blender (mixer), versez les ingrédients avec 5 ou 6 glaçons et mixez le tout. C'est prêt ! Versez dans le verre et dégustez. Peut aussi se réaliser au shaker si c'est juste pour une personne.		 
			Servir dans un verre de type ""verre à vin"".		 
			Décorer avec un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80258_w512h384c1cx974cy1535.jpg"
"7","96-grands-classiques","pina-colada","2 cl de rhum ambré","
			Réalisez la recette ""Piña Colada"" au mixer.		 
			Dans un blender (mixer), versez les ingrédients avec 5 ou 6 glaçons et mixez le tout. C'est prêt ! Versez dans le verre et dégustez. Peut aussi se réaliser au shaker si c'est juste pour une personne.		 
			Servir dans un verre de type ""verre à vin"".		 
			Décorer avec un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80258_w512h384c1cx974cy1535.jpg"
"8","96-grands-classiques","pina-colada","12 cl de jus d'ananas","
			Réalisez la recette ""Piña Colada"" au mixer.		 
			Dans un blender (mixer), versez les ingrédients avec 5 ou 6 glaçons et mixez le tout. C'est prêt ! Versez dans le verre et dégustez. Peut aussi se réaliser au shaker si c'est juste pour une personne.		 
			Servir dans un verre de type ""verre à vin"".		 
			Décorer avec un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80258_w512h384c1cx974cy1535.jpg"
"9","96-grands-classiques","pina-colada","4 cl de lait de coco","
			Réalisez la recette ""Piña Colada"" au mixer.		 
			Dans un blender (mixer), versez les ingrédients avec 5 ou 6 glaçons et mixez le tout. C'est prêt ! Versez dans le verre et dégustez. Peut aussi se réaliser au shaker si c'est juste pour une personne.		 
			Servir dans un verre de type ""verre à vin"".		 
			Décorer avec un morceau d'ananas et une cerise confite.		","https://assets.afcdn.com/recipe/20180705/80258_w512h384c1cx974cy1535.jpg"
"10","96-grands-classiques","cosmopolitan","4 cl de vodka","
			Réalisez la recette ""Cosmopolitan"" au shaker.		 
			Frapper les ingrédients avec des glaçons et verser dans le verre en filtrant.		 
			Servir dans un verre de type ""verre à martini"".		 
			Eventuellement une rondelle de citron sur le bord du verre.		","https://assets.afcdn.com/recipe/20180705/80274_w512h384c1cx2378cy1278.jpg"
